city_id,city,titre_support,type,type_communication,thematique,description
russia_national,National (russe),refugies_en_russie,Chaine,Messages structurés,Offre et recherche d'aide,"Ce canal republie les offres et les demandes d'aide émanant de bénévoles ou de réfugiés ukrainiens. En outre, le canal publie des informations générales (lois, numéros d'assistance, adresses, etc.). De temps à autre, des publications moins informatives apparaissent, telles que des citations de Poutine, des vœux pour le jour de la victoire et d'autres messages."
russia_national,National (russe),refugies_en_russie_chat,Chat,Commentgoupe,Générale,"Ce chat appartient à la chaîne mentionnée ci-dessus. Les participants y publient des offres et des demandes d'aide, qui peuvent ensuite être republiées sur la chaîne afin d'être diffusées à un public plus large. Il est intéressant de noter qu'au début (le 21 février), les annonces d'offres d'emploi ont été accueillies négativement dans le chat (les gens craignaient que les personnes dans le besoin soient trompées). Les discussions politiques ne sont pas les bienvenues dans le chat et, comme on peut le constater, elles sont supprimées par l'administrateur. Le chat permet également aux personnes de communiquer entre elles, de partager leurs expériences et de poser des questions. Le chat est toujours actif à ce jour, les personnes discutent activement de questions administratives et réagissent aux actualités de la chaîne."
russia_national,National (russe),donbass_en_russie,Chaine,Chaîne d'information,Générale,"Informations sur les documents, les paiements ; liens utiles et rappels."
russia_national,National (russe),donbass_en_russie_chat,Chat,Commentgoupe,Générale,"Informations sur les documents, les paiements ; liens utiles et rappels."
russia_national,International,navigateur,Chaine,Agrégateur de liens,Générale,"Informations structurées par hashtags et régions ; point de départ pour les études de cas. Le Navigateur comporte une section intéressante où les utilisateurs partagent les coordonnées des fraudeurs afin que d'autres réfugiés ne soient pas victimes d'arnaques. Très souvent, dans les chats consacrés à l'emploi, les utilisateurs proposent des emplois liés à la vente de drogues."
russia_national,International,navigateur_chat,Chat,Commentgoupe,Générale,"Informations structurées par hashtags et régions ; point de départ pour les études de cas. Le Navigateur comporte une section intéressante où les utilisateurs partagent les coordonnées des fraudeurs afin que d'autres réfugiés ne soient pas victimes d'arnaques. Très souvent, dans les chats consacrés à l'emploi, les utilisateurs proposent des emplois liés à la vente de drogues."
russia_national,National (russe),andriy_lysenko,Chaine,Organisationnel,Activités d'une organisation bénévole,"Cet individu dispose de sa propre fondation et d'une chaîne YouTube. Fondation : https://fondandreyalysenko.ru/ Chaîne : https://www.youtube.com/@lisenko1000 D'après ce que j'ai compris, cet individu apporte son aide depuis longtemps, bien avant le début de la guerre en 2022."
russia_national,National (russe),andriy_lysenko_chat,Chat,Commentgoupe,Activités d'une organisation bénévole,"Cet individu dispose de sa propre fondation et d'une chaîne YouTube. Fondation : https://fondandreyalysenko.ru/ Chaîne : https://www.youtube.com/@lisenko1000 D'après ce que j'ai compris, cet individu apporte son aide depuis longtemps, bien avant le début de la guerre en 2022."
russia_national,National (russe),nous_vivrons,Chaine,Chaîne d'information,Générale,"Instructions détaillées concernant les documents, les paiements et les avantages ; connexion avec le bot."
russia_national,National (russe),nous_vivrons_chat,Chat,Commentgoupe,Générale,"Instructions détaillées concernant les documents, les paiements et les avantages ; connexion avec le bot."
russia_national,National (russe),frontiere_rpdro_files_dattente,Chat,Messages structurés,Franchissement de la frontière,"Rapports opérationnels sur les files d'attente, les points de contrôle, les itinéraires ; activité très intense."
russia_national,National (russe),frontiere_rpdro_forum_discussions,Chat,Communication/discussions/échange d'informations,Franchissement de la frontière,"Complément d'information concernant les files d'attente ; questions relatives à l'assurance, aux documents, etc."
russia_national,National (russe),compagnon_de_voyage_russie,Chat,Messages structurés,Franchissement de la frontière,Recherche de compagnons de voyage/transporteurs ; des frais sont applicables pour la publication d'annonces.
russia_national,National (russe),refugiees_russie,Chaine,Chaîne d'information,Générale,"Portail d'information juridique ; il comprend également des forums dédiés au logement, à l'emploi et à Krasnodar, ainsi que des mémos et des actualités."
russia_national,National (russe),refugiees_russie_chat,Chat,Commentgoupe,Générale,Associé au canal « Réfugiés | Russie » ; échange d'expériences et de questions.
russia_national,National (russe),logement_refugies_et_personnes_depalcees,Chat,Communication/discussions/échange d'informations,Recherche de logement,"Discussion sur le logement ; les administrateurs du chat ont organisé la collecte des demandes par courrier électronique (composition de la famille, emplacement)."
russia_national,National (russe),travail_refugies_et_personnes_depalcees,Chat,Messages structurés,Recherche de travail,Offres d'emploi et questions juridiques liées au travail ; recherche d'emploi.
russia_national,National (russe),assistance_juridique,Chat,Communication/discussions/échange d'informations,Assistance juridique,Explications juridiques et cas pratiques des participants
russia_national,National (russe),plateforme_dinformation,Chaine,Chaîne d'information,Générale,"Actualités, informations administratives/juridiques, accueil des réfugiés."
russia_national,National (russe),plateforme_dinformation_chat,Chat,Commentgoupe,Générale,Discussion générale pour l'échange d'informations.
russia_national,National (russe),question_responses_assistance_informatique,Chat,Communication/discussions/échange d'informations,Générale,Assistance concernant les documents de la Fédération de Russie et les allocations ; associé au site mirnamvsem.com.
russia_national,National (russe),le_monde_pour_tous,Chaine,Chaîne d'information,Générale,"Documents, allocations, écoles/crèches, centres d'aide."
russia_national,National (russe),le_monde_pour_tous_chat,Chat,Commentgoupe,Générale,"Documents, allocations, écoles/crèches, centres d'aide."
russia_national,National (russe),assistance_aux_refugies_du_donbass,Chat,Communication/discussions/échange d'informations,Offre et recherche d'aide,Format de l'annonce : comment aider/ville/conditions/contacts ; plusieurs numéros de téléphone accessibles au public.
russia_national,National (russe),accueil_des_refugies_du_donbass,Chat,Communication/discussions/échange d'informations,Recherche de logement,Annonces et demandes de logement.
russia_national,National (russe),les_personnes_deplacees_de_kharkiv,Chat,Chaîne d'information,Générale,"Sous-catégories : documents, avantages, frontière, travail, logement, PVR, etc."
russia_national,National (russe),frontiere_dnrro_informations_sur_letat_de_la_file_dattente,Chat,Communication/discussions/échange d'informations,Franchissement de la frontière,"Rapports des postes de contrôle et des barrages routiers ; Fédération de Russie, Crimée, RPL, RPD."
russia_national,National (russe),pvr_russie_points,Chat,Chaîne d'information,Centres d'hébergement temporaire (PVR),"Adresses PVR par région ; chaînes filiales sans commentaires, ainsi qu'un chat « communication »."
russia_national,National (russe),assistance_aux_refugies_travail,Chaine,Messages structurés,Recherche de travail,Publication d'offres d'emploi et de CV.
russia_national,National (russe),assistance_aux_refugies_travail_chat,Chat,Commentgoupe,Recherche de travail,Publication d'offres d'emploi et de CV.
moscow,Moscou et la région de Moscou,ecole_aide_aux_refugies,Chat,Communication/discussions/échange d'informations,Éducation des enfants / aide scolaire,"Sous-projets : forum de discussion, informations des organisateurs, cours gratuits ; été 2022, groupes en ligne."
russia_national,National (russe),assistance_medicale,Chaine,Messages structurés,Assistance médicale,Horaires de permanence ; une confirmation du statut de réfugié est requise pour toute demande.
russia_national,National (russe),assistance_medicale_chat,Chat,Commentgoupe,Assistance médicale,Horaires de permanence ; une confirmation du statut de réfugié est requise pour toute demande.
russia_national,National (russe),assistance_medicale_aux_refugies_en_fdr,Chaine,Messages structurés,Assistance médicale,Une équipe de médecins bénévoles ; correspondance individuelle en dehors du canal ; informations pratiques sur les villes. ! Faire attention que cette chaine et la chaine d'avant ont exactement les memes messages
